scholar_name,mag_name,jw,qgram,scholar_cat
Fixed Point Theory and Applications,Fixed Point Theory and Applications,1,1,phy_pureappliedmathematics
Fixed Point Theory and Applications,Fixed Point Theory,0.903,0.528,phy_pureappliedmathematics
Fixed Point Theory and Applications,Fixed Point Theory and Algorithms for Sciences and Engineering,0.877,0.397,phy_pureappliedmathematics
Filomat,Filomat,1,1,phy_pureappliedmathematics
Filomat,Filozofia,0.854,0.4,phy_pureappliedmathematics
Filomat,Filosofia,0.854,0.4,phy_pureappliedmathematics
Electronic Journal of Differential Equations,Electronic Journal of Differential Equations,1,1,phy_pureappliedmathematics
Electronic Journal of Differential Equations,Electronic Journal of Health Informatics,0.916,0.578,phy_pureappliedmathematics
Electronic Journal of Differential Equations,Electronic Journal for Inclusive Education,0.906,0.533,phy_pureappliedmathematics
Discrete Mathematics,Discrete Mathematics,1,1,phy_pureappliedmathematics
Discrete Mathematics,Discrete Mathematics and Applications,0.908,0.553,phy_pureappliedmathematics
Discrete Mathematics,Discrete Applied Mathematics,0.903,0.724,phy_pureappliedmathematics
Discrete Applied Mathematics,Discrete Applied Mathematics,1,1,phy_pureappliedmathematics
Discrete Applied Mathematics,Discrete Mathematics,0.903,0.724,phy_pureappliedmathematics
Discrete Applied Mathematics,Discrete Mathematics and Applications,0.872,0.711,phy_pureappliedmathematics
Combinatorica,Combinatorica,1,1,phy_pureappliedmathematics
Combinatorica,Geombinatorics,0.877,0.667,phy_pureappliedmathematics
Combinatorica,Combinatorial Pattern Matching,0.871,0.355,phy_pureappliedmathematics
Bulletin of the Malaysian Mathematical Sciences Society,Bulletin of the Malaysian Mathematical Sciences Society,1,1,phy_pureappliedmathematics
Bulletin of the Malaysian Mathematical Sciences Society,Bulletin of The Australian Mathematical Society,0.906,0.732,phy_pureappliedmathematics
Bulletin of the Malaysian Mathematical Sciences Society,Bulletin of The Iranian Mathematical Society,0.896,0.714,phy_pureappliedmathematics
Boundary Value Problems,Boundary Value Problems,1,1,phy_pureappliedmathematics
Boundary Value Problems,boundary 2,0.858,0.375,phy_pureappliedmathematics
Boundary Value Problems,Boundary-Layer Meteorology,0.832,0.37,phy_pureappliedmathematics
Annali di Matematica Pura ed Applicata,Annali di Matematica Pura ed Applicata,1,1,phy_pureappliedmathematics
Annali di Matematica Pura ed Applicata,Annali di medicina navale,0.855,0.359,phy_pureappliedmathematics
Annali di Matematica Pura ed Applicata,Annals of Tropical Medicine and Public Health,0.843,0.348,phy_pureappliedmathematics
Advances in Difference Equations,Advances in Difference Equations,1,1,phy_pureappliedmathematics
Advances in Difference Equations,Advances in Differential Equations,0.944,0.857,phy_pureappliedmathematics
Advances in Difference Equations,Advances in engineering education,0.902,0.559,phy_pureappliedmathematics
TrAC Trends in Analytical Chemistry,Trends in Analytical Chemistry,0.855,0.861,chm_analyticalchemistry
TrAC Trends in Analytical Chemistry,Trends in Environmental Analytical Chemistry,0.838,0.689,chm_analyticalchemistry
TrAC Trends in Analytical Chemistry,Trace elements in medicine,0.834,0.306,chm_analyticalchemistry
The Analyst,The Log Analyst,0.91,0.75,chm_analyticalchemistry
The Analyst,The plantsman,0.896,0.357,chm_analyticalchemistry
The Analyst,The Lancet,0.88,0.5,chm_analyticalchemistry
Talanta,Talanta,1,1,chm_analyticalchemistry
Talanta,Al-qantara,0.819,0.455,chm_analyticalchemistry
Talanta,The Almanack,0.807,0.231,chm_analyticalchemistry
Sensors and Actuators B: Chemical,Sensors and Actuators B-chemical,0.982,0.912,chm_analyticalchemistry
Sensors and Actuators B: Chemical,Sensors and Actuators,0.927,0.647,chm_analyticalchemistry
Sensors and Actuators B: Chemical,Sensors and Actuators A-physical,0.925,0.765,chm_analyticalchemistry
Molecular & Cellular Proteomics,Molecular & Cellular Proteomics,1,1,chm_analyticalchemistry
Molecular & Cellular Proteomics,Molecular & Cellular Epilepsy,0.926,0.656,chm_analyticalchemistry
Molecular & Cellular Proteomics,Molecular & Cellular Toxicology,0.92,0.688,chm_analyticalchemistry
Microchimica Acta,Mikrochimica Acta,0.869,0.889,chm_analyticalchemistry
Microchimica Acta,Microchemical Journal,0.861,0.455,chm_analyticalchemistry
Microchimica Acta,Microscopica acta. Supplement,0.861,0.4,chm_analyticalchemistry
Microchemical Journal,Microchemical Journal,1,1,chm_analyticalchemistry
Microchemical Journal,Biochemical Journal,0.879,0.773,chm_analyticalchemistry
Microchemical Journal,Microcirculation,0.871,0.273,chm_analyticalchemistry
Mass Spectrometry Reviews,Mass Spectrometry Reviews,1,1,chm_analyticalchemistry
Mass Spectrometry Reviews,Mass Spectrometry Letters,0.943,0.731,chm_analyticalchemistry
Mass Spectrometry Reviews,Mass spectrometry,0.936,0.692,chm_analyticalchemistry
Lab on a Chip,Lab on a Chip,1,1,chm_analyticalchemistry
Lab on a Chip,Law and Philosophy,0.793,0.211,chm_analyticalchemistry
Lab on a Chip,Slavonica,0.724,0.214,chm_analyticalchemistry
Journal of Proteome Research,Journal of Proteome Research,1,1,chm_analyticalchemistry
Journal of Proteome Research,Journal of Property Research,0.941,0.793,chm_analyticalchemistry
Journal of Proteome Research,Journal of Polymer Research,0.932,0.759,chm_analyticalchemistry
Journal of Pharmaceutical and Biomedical Analysis,Journal of Pharmaceutical and Biomedical Analysis,1,1,chm_analyticalchemistry
Journal of Pharmaceutical and Biomedical Analysis,Journal of pharmaceutical and biomedical sciences,0.963,0.84,chm_analyticalchemistry
Journal of Pharmaceutical and Biomedical Analysis,Journal of Pharmaceutical and Allied Sciences,0.934,0.68,chm_analyticalchemistry
Journal of Food and Drug Analysis,Journal of Food and Drug Analysis,1,1,chm_analyticalchemistry
Journal of Food and Drug Analysis,Journal of Logic and Analysis,0.929,0.706,chm_analyticalchemistry
Journal of Food and Drug Analysis,Journal of Food and Agriculture,0.902,0.618,chm_analyticalchemistry
Journal of Electroanalytical Chemistry,Journal of Electroanalytical Chemistry,1,1,chm_analyticalchemistry
Journal of Electroanalytical Chemistry,Journal of Electronic Materials,0.924,0.513,chm_analyticalchemistry
Journal of Electroanalytical Chemistry,Journal of Electrochemistry,0.912,0.692,chm_analyticalchemistry
Journal of Chromatography A,Journal of Chromatography A,1,1,chm_analyticalchemistry
Journal of Chromatography A,Journal of Chromatography B,0.985,0.929,chm_analyticalchemistry
Journal of Chromatography A,Journal of chromatography library,0.964,0.765,chm_analyticalchemistry
Biosensors and Bioelectronics,Biosensors and Bioelectronics,1,1,chm_analyticalchemistry
Biosensors and Bioelectronics,Biosensors,0.869,0.367,chm_analyticalchemistry
Biosensors and Bioelectronics,Biosurface and Biotribology,0.853,0.4,chm_analyticalchemistry
Analytical and Bioanalytical Chemistry,Analytical and Bioanalytical Chemistry,1,1,chm_analyticalchemistry
Analytical and Bioanalytical Chemistry,Analytical Biochemistry,0.886,0.59,chm_analyticalchemistry
Analytical and Bioanalytical Chemistry,Analytical and quantitative cytology,0.872,0.513,chm_analyticalchemistry
Analytical Methods,Analytical Methods,1,1,chm_analyticalchemistry
Analytical Methods,Analytical Chemistry,0.913,0.524,chm_analyticalchemistry
Analytical Methods,Analytical Letters,0.911,0.684,chm_analyticalchemistry
Analytical Chemistry,Analytical Chemistry,1,1,chm_analyticalchemistry
Analytical Chemistry,Analytical Biochemistry,0.954,0.833,chm_analyticalchemistry
Analytical Chemistry,Analytical Chemistry Letters,0.943,0.724,chm_analyticalchemistry
Analytica Chimica Acta,Analytica Chimica Acta,1,1,chm_analyticalchemistry
Analytica Chimica Acta,Analytical Chemistry,0.873,0.522,chm_analyticalchemistry
Analytica Chimica Acta,Analytical Biochemistry,0.872,0.458,chm_analyticalchemistry
ACS Sensors,ACS Sensors,1,1,chm_analyticalchemistry
ACS Sensors,ACS Nano,0.859,0.333,chm_analyticalchemistry
ACS Sensors,ACS Infectious Diseases,0.849,0.25,chm_analyticalchemistry
World Journal of Surgery,World Journal of Surgery,1,1,med_surgery
World Journal of Surgery,World Journal of Urology,0.95,0.76,med_surgery
World Journal of Surgery,World journal of plastic surgery,0.95,0.758,med_surgery
World Journal of Emergency Surgery,World Journal of Emergency Surgery,1,1,med_surgery
World Journal of Emergency Surgery,World journal of emergency medicine,0.925,0.75,med_surgery
World Journal of Emergency Surgery,World Journal of Endocrine Surgery,0.92,0.771,med_surgery
The American Journal of Surgery,The American journal of knee surgery,0.959,0.865,med_surgery
The American Journal of Surgery,The American Journal of Cosmetic Surgery,0.942,0.78,med_surgery
The American Journal of Surgery,The American Journal of Gastroenterology,0.937,0.634,med_surgery
Surgical Endoscopy,Surgical Neurology,0.897,0.526,med_surgery
Surgical Endoscopy,Surgical Science,0.876,0.579,med_surgery
Surgical Endoscopy,Surgical Infections,0.874,0.45,med_surgery
Surgery for obesity and related diseases,Surgery for Obesity and Related Diseases,1,1,med_surgery
Surgery for obesity and related diseases,Surgery for Cerebral Stroke,0.851,0.317,med_surgery
Surgery for obesity and related diseases,Surgery,0.835,0.195,med_surgery
Surgery,Surgery,1,1,med_surgery
Surgery,Surgery Today,0.908,0.571,med_surgery
Surgery,Surgery Journal,0.893,0.5,med_surgery
Obesity Surgery,Obesity Surgery,1,1,med_surgery
Obesity Surgery,Obesity,0.893,0.5,med_surgery
Obesity Surgery,Obesity Research,0.893,0.471,med_surgery
Journal of the American College of Surgeons,Journal of The American College of Surgeons,1,1,med_surgery
Journal of the American College of Surgeons,Journal of The American College of Nutrition,0.948,0.8,med_surgery
Journal of the American College of Surgeons,Journal of The American College of Radiology,0.944,0.778,med_surgery
Journal of Vascular Surgery,Journal of Vascular Surgery,1,1,med_surgery
Journal of Vascular Surgery,Journal of Vascular Nursing,0.947,0.75,med_surgery
Journal of Vascular Surgery,Journal of Vascular Research,0.941,0.69,med_surgery
Journal of Trauma and Acute Care Surgery,Journal of Traumatic Surgery,0.906,0.61,med_surgery
Journal of Trauma and Acute Care Surgery,Journal of Trauma and Injury,0.904,0.61,med_surgery
Journal of Trauma and Acute Care Surgery,Journal of trauma and treatment,0.902,0.561,med_surgery
Journal of Surgical Oncology,Journal of Surgical Oncology,1,1,med_surgery
Journal of Surgical Oncology,Journal of Surgical Radiology,0.943,0.833,med_surgery
Journal of Surgical Oncology,Journal of Social Ontology,0.939,0.724,med_surgery
Journal of Gastrointestinal Surgery,Journal of Gastrointestinal Surgery,1,1,med_surgery
Journal of Gastrointestinal Surgery,Journal of Gastrointestinal Cancer,0.941,0.806,med_surgery
Journal of Gastrointestinal Surgery,Journal of gastrointestinal oncology,0.938,0.784,med_surgery
JAMA Surgery,JAMA Surgery,1,1,med_surgery
JAMA Surgery,JAMA Neurology,0.87,0.467,med_surgery
JAMA Surgery,JAMA,0.867,0.385,med_surgery
International Journal of Surgery,International Journal of Surgery,1,1,med_surgery
International Journal of Surgery,International Journal of Surgery Open,0.973,0.868,med_surgery
International Journal of Surgery,International Journal of Urology,0.962,0.818,med_surgery
HPB: The Official Journal of The International Hepato Pancreato Biliary Association,"Fabrications: the journal of the Society of Architectural Historians, Australia and New Zealand",0.791,0.458,med_surgery
HPB: The Official Journal of The International Hepato Pancreato Biliary Association,International Journal of Bioinformatics Research and Applications,0.771,0.464,med_surgery
HPB: The Official Journal of The International Hepato Pancreato Biliary Association,International Journal of Theoretical and Mathematical Physics,0.768,0.476,med_surgery
European journal of vascular and endovascular surgery,European Journal of Vascular and Endovascular Surgery,1,1,med_surgery
European journal of vascular and endovascular surgery,European Journal of Vascular Surgery,0.919,0.685,med_surgery
European journal of vascular and endovascular surgery,European Journal of Cardiovascular Nursing,0.901,0.574,med_surgery
European Journal of Surgical Oncology,European Journal of Social Psychology,0.945,0.737,med_surgery
European Journal of Surgical Oncology,European Journal of Oncology,0.937,0.763,med_surgery
European Journal of Surgical Oncology,European Journal of Radiology,0.937,0.658,med_surgery
British Journal of Surgery,British Journal of Surgery,1,1,med_surgery
British Journal of Surgery,British Journal of Plastic Surgery,0.953,0.771,med_surgery
British Journal of Surgery,British Journal of Neurosurgery,0.952,0.812,med_surgery
Annals of Surgical Oncology,Annals of Surgical Oncology,1,1,med_surgery
Annals of Surgical Oncology,Annals of Glaciology,0.918,0.536,med_surgery
Annals of Surgical Oncology,Annals of Oncology,0.911,0.679,med_surgery
Annals of Surgery,Annals of Surgery,1,1,med_surgery
Annals of Surgery,Annals of Plastic Surgery,0.936,0.692,med_surgery
Annals of Surgery,Annals of Forestry,0.93,0.632,med_surgery
Survey of Anesthesiology,Survey of Anesthesiology,1,1,med_anesthesiology
Survey of Anesthesiology,Survey Methodology,0.886,0.52,med_anesthesiology
Survey of Anesthesiology,Survey of Ophthalmology,0.884,0.64,med_anesthesiology
Regional Anesthesia & Pain Medicine,Regional Anesthesia and Pain Medicine,0.943,0.895,med_anesthesiology
Regional Anesthesia & Pain Medicine,Regional anesthesia,0.909,0.556,med_anesthesiology
Regional Anesthesia & Pain Medicine,Regional Studies in Marine Science,0.881,0.528,med_anesthesiology
Pediatric Anesthesia,Pediatric Anesthesia,1,1,med_anesthesiology
Pediatric Anesthesia,Pediatric News,0.916,0.524,med_anesthesiology
Pediatric Anesthesia,Pediatric Diabetes,0.913,0.571,med_anesthesiology
Obstetric Anesthesia Digest,Obstetric Anesthesia Digest,1,1,med_anesthesiology
Obstetric Anesthesia Digest,Obstetric Medicine,0.871,0.429,med_anesthesiology
Obstetric Anesthesia Digest,Obstetric and Gynecologic Survey,0.828,0.394,med_anesthesiology
Journal of Clinical Monitoring and Computing,Journal of Clinical Monitoring and Computing,1,1,med_anesthesiology
Journal of Clinical Monitoring and Computing,Journal of clinical computing,0.904,0.667,med_anesthesiology
Journal of Clinical Monitoring and Computing,Journal of Cell Communication and Signaling,0.902,0.667,med_anesthesiology
Journal of Clinical Anesthesia,Journal of Clinical Anesthesia,1,1,med_anesthesiology
Journal of Clinical Anesthesia,Journal of Clinical Apheresis,0.944,0.774,med_anesthesiology
Journal of Clinical Anesthesia,Journal of Clinical Ethics,0.943,0.677,med_anesthesiology
Journal of Cardiothoracic and Vascular Anesthesia,Journal of Cardiothoracic and Vascular Anesthesia,1,1,med_anesthesiology
Journal of Cardiothoracic and Vascular Anesthesia,Journal of Cardiothoracic Anesthesia,0.93,0.74,med_anesthesiology
Journal of Cardiothoracic and Vascular Anesthesia,Journal of cardiovascular and thoracic research,0.921,0.76,med_anesthesiology
Journal of Anesthesia,Journal of Anesthesia,1,1,med_anesthesiology
Journal of Anesthesia,Journal of anesthesia history,0.945,0.733,med_anesthesiology
Journal of Anesthesia,Journal of Asthma,0.941,0.682,med_anesthesiology
Indian Journal of Anaesthesia,Indian Journal of Anaesthesia,1,1,med_anesthesiology
Indian Journal of Anaesthesia,Indian Journal of Anaesthesia and Analgesia,0.935,0.682,med_anesthesiology
Indian Journal of Anaesthesia,Indian Journal of Fisheries,0.935,0.667,med_anesthesiology
European Journal of Anaesthesiology| EJA,European Journal of Anaesthesiology,0.975,0.854,med_anesthesiology
European Journal of Anaesthesiology| EJA,European Journal of Anaesthesiology - Supplement,0.939,0.714,med_anesthesiology
European Journal of Anaesthesiology| EJA,European Journal of Haematology,0.937,0.61,med_anesthesiology
Current Opinion in Anesthesiology,Current Opinion in Anesthesiology,1,1,med_anesthesiology
Current Opinion in Anesthesiology,Current Opinion in Hematology,0.956,0.735,med_anesthesiology
Current Opinion in Anesthesiology,Current Opinion in Rheumatology,0.943,0.735,med_anesthesiology
Canadian Journal of Anesthesia,Canadian Journal of Diabetes,0.944,0.71,med_anesthesiology
Canadian Journal of Anesthesia,Canadian Journal of Mathematics,0.939,0.688,med_anesthesiology
Canadian Journal of Anesthesia,Canadian Journal of Earth Sciences,0.936,0.629,med_anesthesiology
British Journal of Anaesthesia,British Journal of Aesthetics,0.959,0.806,med_anesthesiology
British Journal of Anaesthesia,British Journal of Management,0.931,0.677,med_anesthesiology
British Journal of Anaesthesia,British journal of pain,0.929,0.613,med_anesthesiology
Best Practice & Research Clinical Anaesthesiology,Best Practice & Research Clinical Anaesthesiology,1,1,med_anesthesiology
Best Practice & Research Clinical Anaesthesiology,Best Practice & Research Clinical Haematology,0.971,0.8,med_anesthesiology
Best Practice & Research Clinical Anaesthesiology,Best Practice & Research: Clinical Rheumatology,0.954,0.78,med_anesthesiology
BMC Anesthesiology,BMC Anesthesiology,1,1,med_anesthesiology
BMC Anesthesiology,Anesthesiology,0.926,0.789,med_anesthesiology
BMC Anesthesiology,BMC Hematology,0.915,0.526,med_anesthesiology
Anesthesiology,Anesthesiology,1,1,med_anesthesiology
Anesthesiology,Anesthesiology Clinics,0.927,0.652,med_anesthesiology
Anesthesiology,BMC Anesthesiology,0.926,0.789,med_anesthesiology
Anesthesia & Analgesia,Anesthesia & Analgesia,1,1,med_anesthesiology
Anesthesia & Analgesia,Anesthesia Progress,0.875,0.522,med_anesthesiology
Anesthesia & Analgesia,"Anesthésie, analgésie, réanimation",0.857,0.486,med_anesthesiology
Anaesthesia Critical Care & Pain Medicine,"Anaesthesia, critical care & pain medicine",0.995,0.953,med_anesthesiology
Anaesthesia Critical Care & Pain Medicine,Anaesthesia & Intensive Care Medicine,0.873,0.69,med_anesthesiology
Anaesthesia Critical Care & Pain Medicine,Anaesthesia and Intensive Care,0.862,0.452,med_anesthesiology
Anaesthesia,Anaesthesia,1,1,med_anesthesiology
Anaesthesia,Anaesthesist,0.948,0.769,med_anesthesiology
Anaesthesia,Anaesthesia and Intensive Care,0.873,0.387,med_anesthesiology
Acta Anaesthesiologica Scandinavica,Acta Anaesthesiologica Scandinavica,1,1,med_anesthesiology
Acta Anaesthesiologica Scandinavica,Acta Anaesthesiologica Taiwanica,0.939,0.75,med_anesthesiology
Acta Anaesthesiologica Scandinavica,Acta anaesthesiologica,0.926,0.639,med_anesthesiology
Review of Palaeobotany and Palynology,Review of Palaeobotany and Palynology,1,1,soc_paleontology
Review of Palaeobotany and Palynology,Review of Philosophy and Psychology,0.856,0.579,soc_paleontology
Review of Palaeobotany and Palynology,Review of Historical Geography and Toponomastics,0.847,0.388,soc_paleontology
Papers in Palaeontology,Papers in Physics,0.846,0.458,soc_paleontology
Papers in Palaeontology,Papers in Meteorology and Geophysics,0.845,0.432,soc_paleontology
Papers in Palaeontology,Palaeontology,0.843,0.583,soc_paleontology
Palynology,Palynology,1,1,soc_paleontology
Palynology,Palaeontology,0.853,0.571,soc_paleontology
Palynology,Paleobiology,0.846,0.615,soc_paleontology
Paleobiology,Paleobiology,1,1,soc_paleontology
Paleobiology,Palaeobiology II,0.942,0.706,soc_paleontology
Paleobiology,Pathobiology,0.911,0.769,soc_paleontology
Palaios,PALAIOS,1,1,soc_paleontology
Palaios,Palaeoworld,0.834,0.333,soc_paleontology
Palaios,Paladyn,0.829,0.5,soc_paleontology
Palaeoworld,Palaeoworld,1,1,soc_paleontology
Palaeoworld,Palaver,0.881,0.333,soc_paleontology
Palaeoworld,Palaeontology,0.869,0.429,soc_paleontology
Palaeontology,Palaeontology,1,1,soc_paleontology
Palaeontology,Paleoanthropology,0.909,0.556,soc_paleontology
Palaeontology,Palaeobiology II,0.907,0.647,soc_paleontology
Palaeontologia Electronica,Palaeontologia Electronica,1,1,soc_paleontology
Palaeontologia Electronica,Palaeontologische Zeitschrift,0.878,0.433,soc_paleontology
Palaeontologia Electronica,Palaeontology,0.877,0.444,soc_paleontology
"Palaeogeography, Palaeoclimatology, Palaeoecology","Palaeogeography, Palaeoclimatology, Palaeoecology",1,1,soc_paleontology
"Palaeogeography, Palaeoclimatology, Palaeoecology","Oral Surgery, Oral Medicine, Oral Pathology, and Oral Radiology",0.732,0.328,soc_paleontology
"Palaeogeography, Palaeoclimatology, Palaeoecology","International journal of clinical pharmacology, therapy, and toxicology",0.705,0.361,soc_paleontology
Marine Micropaleontology,Marine Micropaleontology,1,1,soc_paleontology
Marine Micropaleontology,Marine Biotechnology,0.897,0.48,soc_paleontology
Marine Micropaleontology,Marine ornithology,0.895,0.48,soc_paleontology
Lethaia,Lethaia,1,1,soc_paleontology
Lethaia,Leviathan,0.865,0.5,soc_paleontology
Lethaia,Letr@s Hispanas,0.827,0.188,soc_paleontology
Journal of Vertebrate Paleontology,Journal of Vertebrate Paleontology,1,1,soc_paleontology
Journal of Vertebrate Paleontology,Journal of Invertebrate Pathology,0.919,0.8,soc_paleontology
Journal of Vertebrate Paleontology,Journal of Pentecostal Theology,0.91,0.6,soc_paleontology
Journal of Systematic Palaeontology,Journal of Systematic Palaeontology,1,1,soc_paleontology
Journal of Systematic Palaeontology,Journal of Systematics and Evolution,0.92,0.622,soc_paleontology
Journal of Systematic Palaeontology,Journal of Practical Stomatology,0.919,0.694,soc_paleontology
Journal of Paleontology,Journal of Paleontology,1,1,soc_paleontology
Journal of Paleontology,Journal of Paleolimnology,0.958,0.808,soc_paleontology
Journal of Paleontology,Journal of Gerontology,0.946,0.792,soc_paleontology
Historical Biology,Historical Biology,1,1,soc_paleontology
Historical Biology,Historical Zoology,0.943,0.842,soc_paleontology
Historical Biology,Historical Archaeology,0.923,0.696,soc_paleontology
Geologiska Föreningen i Förhandlingar,Geological Science and Technology Information,0.829,0.326,soc_paleontology
Geologiska Föreningen i Förhandlingar,Geological Review,0.823,0.211,soc_paleontology
Geologiska Föreningen i Förhandlingar,Geologija,0.821,0.211,soc_paleontology
Facies,Facies,1,1,soc_paleontology
Facies,Facilities,0.92,0.636,soc_paleontology
Facies,Facilities Manager,0.867,0.368,soc_paleontology
Cretaceous Research,Cretaceous Research,1,1,soc_paleontology
Cretaceous Research,Crustacean research,0.881,0.75,soc_paleontology
Cretaceous Research,Circulation Research,0.818,0.476,soc_paleontology
Comptes Rendus Palevol,Comptes Rendus Palevol,1,1,soc_paleontology
Comptes Rendus Palevol,Comptes Rendus Biologies,0.903,0.64,soc_paleontology
Comptes Rendus Palevol,Comptes Rendus Physique,0.902,0.667,soc_paleontology
Acta Palaeontologica Polonica,Acta Palaeontologica Polonica,1,1,soc_paleontology
Acta Palaeontologica Polonica,Acta haematologica Polonica,0.902,0.767,soc_paleontology
Acta Palaeontologica Polonica,Acta Palaeobotanica,0.891,0.5,soc_paleontology
The Review of Financial Studies,The Review of Regional Studies,0.926,0.781,bus_finance
The Review of Financial Studies,The Review of English Studies,0.918,0.688,bus_finance
The Review of Financial Studies,The Review of Korean Studies,0.91,0.719,bus_finance
The Quarterly Review of Economics and Finance,The Quarterly Review of Economics and Finance,1,1,bus_finance
The Quarterly Review of Economics and Finance,The Quarterly Review of Economics and Business,0.96,0.83,bus_finance
The Quarterly Review of Economics and Finance,The Quarterly Review of Distance Education,0.924,0.652,bus_finance
The Journal of Finance,The Journal of Risk Finance,0.954,0.821,bus_finance
The Journal of Finance,The Journal of Pain,0.942,0.696,bus_finance
The Journal of Finance,The journal of nursing care,0.927,0.607,bus_finance
Review of Finance,Review of Finance,1,1,bus_finance
Review of Finance,Review of Financial Studies,0.926,0.571,bus_finance
Review of Finance,Review of Financial Economics,0.917,0.533,bus_finance
Review of Accounting Studies,Review of Accounting Studies,1,1,bus_finance
Review of Accounting Studies,Review of Accounting and Finance,0.921,0.636,bus_finance
Review of Accounting Studies,Review of Financial Studies,0.9,0.655,bus_finance
Research in International Business and Finance,Research in International Business and Finance,1,1,bus_finance
Research in International Business and Finance,Research on humanities and social sciences,0.872,0.489,bus_finance
Research in International Business and Finance,Research on Financial and Economic Issues,0.871,0.574,bus_finance
"Journal of Money, Credit and Banking","Journal of Money, Credit and Banking",1,1,bus_finance
"Journal of Money, Credit and Banking",Journal of Education and Learning,0.902,0.541,bus_finance
"Journal of Money, Credit and Banking",Journal of System Design and Dynamics,0.895,0.395,bus_finance
Journal of International Money and Finance,Journal of International Money and Finance,1,1,bus_finance
Journal of International Money and Finance,Journal of international finance and economics,0.939,0.809,bus_finance
Journal of International Money and Finance,Journal of International Management,0.923,0.651,bus_finance
"Journal of International Financial Markets, Institutions and Money","Journal of International Financial Markets, Institutions and Money",1,1,bus_finance
"Journal of International Financial Markets, Institutions and Money",Journal of International Financial Management and Accounting,0.911,0.642,bus_finance
"Journal of International Financial Markets, Institutions and Money",Journal of International Translational Medicine,0.9,0.552,bus_finance
Journal of Financial and Quantitative Analysis,Journal of Financial and Quantitative Analysis,1,1,bus_finance
Journal of Financial and Quantitative Analysis,Journal of Financial Management and analysis,0.916,0.766,bus_finance
Journal of Financial and Quantitative Analysis,Journal of Financial Studies,0.9,0.468,bus_finance
Journal of Financial Stability,Journal of Financial Stability,1,1,bus_finance
Journal of Financial Stability,Journal of Financial Studies,0.931,0.742,bus_finance
Journal of Financial Stability,Journal of Financial Therapy,0.931,0.71,bus_finance
Journal of Financial Intermediation,Journal of Financial Intermediation,1,1,bus_finance
Journal of Financial Intermediation,Journal of financial transformation,0.923,0.75,bus_finance
Journal of Financial Intermediation,Journal of Financial Therapy,0.921,0.611,bus_finance
Journal of Financial Economics,Journal of Financial Economics,1,1,bus_finance
Journal of Financial Economics,Journal of Financial Econometrics,0.982,0.882,bus_finance
Journal of Financial Economics,Journal of Financial Economic Policy,0.954,0.784,bus_finance
Journal of Corporate Finance,Journal of Corporate Finance,1,1,bus_finance
Journal of Corporate Finance,Journal of Corporate Finance Research,0.951,0.763,bus_finance
Journal of Corporate Finance,Journal of Property Finance,0.932,0.655,bus_finance
Journal of Banking & Finance,Journal of Banking and Finance,0.958,0.871,bus_finance
Journal of Banking & Finance,Journal of Finance,0.906,0.655,bus_finance
Journal of Banking & Finance,Journal of Banking Regulation,0.906,0.633,bus_finance
Journal of Accounting and Economics,Journal of Accounting and Economics,1,1,bus_finance
Journal of Accounting and Economics,Journal of Accounting and Finance,0.94,0.722,bus_finance
Journal of Accounting and Economics,Journal of Accounting Education,0.932,0.667,bus_finance
International Review of Financial Analysis,International Review of Financial Analysis,1,1,bus_finance
International Review of Financial Analysis,International Review of Finance,0.936,0.698,bus_finance
International Review of Financial Analysis,International Review of Social History,0.913,0.674,bus_finance
International Review of Economics & Finance,International Review of Economics & Finance,1,1,bus_finance
International Review of Economics & Finance,International Review of Economics,0.953,0.773,bus_finance
International Review of Economics & Finance,International Review of Economics Education,0.953,0.773,bus_finance
Finance Research Letters,Finance Research Letters,1,1,bus_finance
Finance Research Letters,Finance and Trade Research,0.871,0.63,bus_finance
Finance Research Letters,Financial Services Review,0.858,0.5,bus_finance
Emerging Markets Finance and Trade,Emerging Markets Finance and Trade,1,1,bus_finance
Emerging Markets Finance and Trade,Emerging Markets Review,0.897,0.486,bus_finance
Emerging Markets Finance and Trade,Emerging Markets Journal,0.874,0.514,bus_finance
Women's Studies International Forum,Womens Studies International Forum,0.994,0.944,hum_genderstudies
Women's Studies International Forum,Women's Studies International Quarterly,0.941,0.75,hum_genderstudies
Women's Studies International Forum,Women's Studies in Communication,0.899,0.611,hum_genderstudies
"Social Politics: International Studies in Gender, State & Society","Social Politics: International Studies in Gender, State & Society",1,1,hum_genderstudies
"Social Politics: International Studies in Gender, State & Society",Social Politics,0.846,0.242,hum_genderstudies
"Social Politics: International Studies in Gender, State & Society",Society of Lesbian and Gay Anthropologists Newsletter,0.833,0.303,hum_genderstudies
Sexuality & Culture,Sexuality and Culture,0.961,0.818,hum_genderstudies
Sexuality & Culture,Sexuality and Disability,0.845,0.4,hum_genderstudies
Sexuality & Culture,"Sexualities, Evolution & Gender",0.834,0.312,hum_genderstudies
Sex Roles,Sex Roles,1,1,hum_genderstudies
Sex Roles,Sexologies,0.878,0.545,hum_genderstudies
Sex Roles,Series,0.837,0.4,hum_genderstudies
Psychology of Women Quarterly,Psychology of Women Quarterly,1,1,hum_genderstudies
Psychology of Women Quarterly,Psychology Science Quarterly,0.888,0.733,hum_genderstudies
Psychology of Women Quarterly,Psychology of Sport and Exercise,0.885,0.485,hum_genderstudies
Psychology of Sexual Orientation and Gender Diversity,Psychology of sexual orientation and gender diversity,1,1,hum_genderstudies
